term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,ventana_pre,ventana
fixest::tiempo_evento::-12:tratado,2.399093571685348,1.4614727471037658,1.6415588839680295,0.1008548933396591,-0.4672539380428704,5.265441081413567,-12,12,-12 a +5
fixest::tiempo_evento::-11:tratado,6.549866181896787,1.9775408220053508,3.3121269149098076,9.440961452312289e-4,2.6713681245269387,10.428364239266635,-11,12,-12 a +5
fixest::tiempo_evento::-10:tratado,0.6304221582627574,1.5206861408874617,0.41456428207785695,0.6785099453432872,-2.3520590009986484,3.612903317524163,-10,12,-12 a +5
fixest::tiempo_evento::-9:tratado,4.61894662425359,1.472004457254084,3.137861846471508,0.0017292211092525742,1.7319435523724906,7.5059496961346905,-9,12,-12 a +5
fixest::tiempo_evento::-8:tratado,-2.1593571681025154,1.245635863421279,-1.7335380519404748,0.08317009018057805,-4.602389555960132,0.28367521975510046,-8,12,-12 a +5
fixest::tiempo_evento::-7:tratado,-2.135838004339448,1.237632249640515,-1.7257452728464595,0.08456363622346583,-4.5631731180092405,0.29149710933034445,-7,12,-12 a +5
fixest::tiempo_evento::-6:tratado,0.3207594808905778,1.2042902344799278,0.2663473236823993,0.7900020171356897,-2.0411828279429542,2.68270178972411,-6,12,-12 a +5
fixest::tiempo_evento::-5:tratado,-2.3026309145046056,1.1729628128990288,-1.9630894425489522,0.04978845627900755,-4.603131587144397,-0.002130241864813698,-5,12,-12 a +5
fixest::tiempo_evento::-4:tratado,0.05343887290182758,1.3884668975619432,0.03848768234637984,0.969303089630709,-2.669724211769891,2.776601957573546,-4,12,-12 a +5
fixest::tiempo_evento::-3:tratado,-1.8481669443989674,1.3824202683834002,-1.3369067183601198,0.18142081230228932,-4.559470936574768,0.8631370477768332,-3,12,-12 a +5
fixest::tiempo_evento::-2:tratado,-0.5247815987440005,1.3916341432973367,-0.3770973867460477,0.7061453664711337,-3.2541565179807725,2.2045933204927715,-2,12,-12 a +5
referencia,0,NA,NA,NA,0,0,-1,12,-12 a +5
fixest::tiempo_evento::0:tratado,1.993107104988288,1.6114184125777198,1.236865043511571,0.2162973787229963,-1.1673248381838972,5.153539048160473,0,12,-12 a +5
fixest::tiempo_evento::1:tratado,3.401845679951984,1.3129525267612552,2.5909890956556794,0.0096468138492854,0.8267869161594539,5.976904443744514,1,12,-12 a +5
fixest::tiempo_evento::2:tratado,1.9831338686099573,1.551473342963864,1.27822619550876,0.2013333001365947,-1.059729408742994,5.025997145962909,2,12,-12 a +5
fixest::tiempo_evento::3:tratado,5.043061657329485,1.8361366299479944,2.7465612172185256,0.006081907530753951,1.441895869461037,8.644227445197933,3,12,-12 a +5
fixest::tiempo_evento::4:tratado,-4.040574660402093,1.2856706683544123,-3.1427757977661623,0.001700610958253854,-6.5621262431266345,-1.5190230776775517,4,12,-12 a +5
fixest::tiempo_evento::5:tratado,-1.6446876735813687,1.2932499507468558,-1.2717477179346162,0.2036258795783761,-4.181104300662132,0.8917289534993946,5,12,-12 a +5
fixest::tiempo_evento::-10:tratado,0.6304221582598308,1.5206803161192564,0.41456587001050604,0.6785087828951084,-2.352047577039087,3.6128918935587486,-10,10,-10 a +5
fixest::tiempo_evento::-9:tratado,4.618946624249961,1.4719988189538307,3.137873865641216,0.001729150593672522,1.7319546106167296,7.505938637883193,-9,10,-10 a +5
fixest::tiempo_evento::-8:tratado,-2.159357168104961,1.2456310921932388,-1.7335446920346886,0.08316891075218787,-4.602380198280308,0.28366586207038624,-8,10,-10 a +5
fixest::tiempo_evento::-7:tratado,-2.135838004341905,1.2376275090691256,-1.7257518830915155,0.08456244618162763,-4.5631638204555,0.2914878117716899,-7,10,-10 a +5
fixest::tiempo_evento::-6:tratado,0.32075948088769857,1.2042856216201718,0.2663483438888596,0.790001231619084,-2.041173780867056,2.6826927426424536,-6,10,-10 a +5
fixest::tiempo_evento::-5:tratado,-2.302630914507036,1.172958320034579,-1.9630969619100822,0.04978758197944812,-4.603122775411643,-0.002139053602428831,-5,10,-10 a +5
fixest::tiempo_evento::-4:tratado,0.05343887289900806,1.388461579240101,0.038487829766420276,0.9693029721098757,-2.6697137810899636,2.7765915268879797,-4,10,-10 a +5
fixest::tiempo_evento::-3:tratado,-1.8481669444014817,1.382414973222442,-1.3369118392094386,0.18141914087923755,-4.55946055131936,0.863126662516396,-3,10,-10 a +5
fixest::tiempo_evento::-2:tratado,-0.5247815987467288,1.3916288128439696,-0.3770988311705556,0.706144293272236,-3.254146063507518,2.20458286601406,-2,10,-10 a +5
referencia,0,NA,NA,NA,0,0,-1,10,-10 a +5
fixest::tiempo_evento::0:tratado,1.9931071049851208,1.6114122402725302,1.2368697811604288,0.21629561999281274,-1.167312732609561,5.153526942579802,0,10,-10 a +5
fixest::tiempo_evento::1:tratado,3.40184567994855,1.3129474976863482,2.590999020100362,0.009646536700906247,0.8267967795464695,5.976894580350631,1,10,-10 a +5
fixest::tiempo_evento::2:tratado,1.9831338686068056,1.5514674002696456,1.2782310915860278,0.20133157468580878,-1.0597177534985143,5.0259854907121255,2,10,-10 a +5
fixest::tiempo_evento::3:tratado,5.0430616573258185,1.8361295968923643,2.746571737562078,0.006081713295055435,1.4419096632017503,8.644213651449887,3,10,-10 a +5
fixest::tiempo_evento::4:tratado,-4.040574660404156,1.2856657437786683,-3.142787835762508,0.0017005414084969464,-6.562116584689669,-1.519032736118643,4,10,-10 a +5
fixest::tiempo_evento::5:tratado,-1.6446876735839346,1.2932449971399176,-1.2717525892010035,0.2036241486375086,-4.181094585287562,0.8917192381196934,5,10,-10 a +5
fixest::tiempo_evento::-8:tratado,-2.1593571681062675,1.2456249577843062,-1.7335532293342057,0.0831673943578739,-4.602368167029029,0.283653830816494,-8,8,-8 a +5
fixest::tiempo_evento::-7:tratado,-2.1358380043431815,1.2376214140757007,-1.7257603820133482,0.08456091614140081,-4.563151866508775,0.2914758578224119,-7,8,-8 a +5
fixest::tiempo_evento::-6:tratado,0.32075948088651063,1.204279690826916,0.2663496555906061,0.7900002216635276,-2.0411621489616527,2.6826811107346744,-6,8,-8 a +5
fixest::tiempo_evento::-5:tratado,-2.302630914508324,1.1729525435201305,-1.9631066297004076,0.049786457894262434,-4.603111446089249,-0.002150382927398997,-5,8,-8 a +5
fixest::tiempo_evento::-4:tratado,0.05343887289781746,1.3884547414282513,0.03848801930903912,0.9693028210096162,-2.6697003702731927,2.7765781160688277,-4,8,-8 a +5
fixest::tiempo_evento::-3:tratado,-1.848166944402759,1.3824081651885765,-1.336918423185563,0.18141699191473618,-4.559447198905441,0.8631133100999229,-3,8,-8 a +5
fixest::tiempo_evento::-2:tratado,-0.5247815987479689,1.391621959434411,-0.37710068829414917,0.7061429134412089,-3.2541326220994256,2.2045694246034877,-2,8,-8 a +5
referencia,0,NA,NA,NA,0,0,-1,8,-8 a +5
fixest::tiempo_evento::0:tratado,1.9931071049840141,1.6114043044869752,1.2368758724512419,0.2162933587730374,-1.1672971683661695,5.153511378334198,0,8,-8 a +5
