carpeta,archivo,extension,tamano_mb,modification_time,ruta_relativa
01_incidentes_c5,inViales_2014_2015.csv,csv,65.282,2026-01-23T17:27:30Z,01_incidentes_c5/inViales_2014_2015.csv
01_incidentes_c5,inViales_2016_2018.csv,csv,123.364,2026-01-23T17:27:27Z,01_incidentes_c5/inViales_2016_2018.csv
01_incidentes_c5,inViales_2019_2021.csv,csv,109.599,2026-01-23T17:27:29Z,01_incidentes_c5/inViales_2019_2021.csv
01_incidentes_c5,inViales_2022_2023.csv,csv,67.403,2026-01-23T17:24:22Z,01_incidentes_c5/inViales_2022_2023.csv
01_incidentes_c5,inViales_2022_2024.csv,csv,99.362,2026-08-07T04:25:53Z,01_incidentes_c5/inViales_2022_2024.csv
02_hechos_transito_ssc,hechos-de-transito-reportados-por-ssc-base-comparativa.csv,csv,9.349,2026-08-07T04:32:02Z,02_hechos_transito_ssc/hechos-de-transito-reportados-por-ssc-base-comparativa.csv
02_hechos_transito_ssc,nuevo_acumulado_hechos_de_transito_2023_12.csv,csv,26.713,2026-08-07T04:24:06Z,02_hechos_transito_ssc/nuevo_acumulado_hechos_de_transito_2023_12.csv
02_hechos_transito_ssc,nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv,csv,30.857,2026-08-07T04:24:31Z,02_hechos_transito_ssc/nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_edad_2023_12.csv
02_hechos_transito_ssc,nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv,csv,28.922,2026-08-07T04:24:18Z,02_hechos_transito_ssc/nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_sexo_2023_12.csv
02_hechos_transito_ssc,nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv,csv,22.972,2026-08-07T04:24:40Z,02_hechos_transito_ssc/nuevo_acumulado_ht_personas_lesionadas_o_fallecidas_por_tipo_persona_2023_12.csv
02_hechos_transito_ssc,nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,csv,46.642,2026-08-07T04:24:45Z,02_hechos_transito_ssc/nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv
05_infracciones/generales,infracciones_infracciones_transito_2020_b1.csv,csv,414.868,2026-01-23T17:25:03Z,05_infracciones/generales/infracciones_infracciones_transito_2020_b1.csv
05_infracciones/generales,infracciones_infracciones_transito_2020_b2.csv,csv,167.009,2026-01-23T17:26:33Z,05_infracciones/generales/infracciones_infracciones_transito_2020_b2.csv
05_infracciones/generales,infracciones_infracciones_transito_2020_b3.csv,csv,14.939,2026-01-23T17:27:30Z,05_infracciones/generales/infracciones_infracciones_transito_2020_b3.csv
05_infracciones/generales,infracciones_infracciones_transito_2020_b4.csv,csv,218.721,2026-01-23T17:26:37Z,05_infracciones/generales/infracciones_infracciones_transito_2020_b4.csv
05_infracciones/generales,infracciones_infracciones_transito_2020_b5.csv,csv,465.83,2026-01-23T17:26:10Z,05_infracciones/generales/infracciones_infracciones_transito_2020_b5.csv
05_infracciones/generales,infracciones_infracciones_transito_2020_b6.csv,csv,502.551,2026-01-23T17:26:26Z,05_infracciones/generales/infracciones_infracciones_transito_2020_b6.csv
05_infracciones/generales,infracciones_infracciones_transito_2021_b1.csv,csv,404.825,2026-01-23T17:24:30Z,05_infracciones/generales/infracciones_infracciones_transito_2021_b1.csv
05_infracciones/generales,infracciones_infracciones_transito_2021_b2.csv,csv,154.886,2026-01-23T17:25:13Z,05_infracciones/generales/infracciones_infracciones_transito_2021_b2.csv
05_infracciones/generales,infracciones_infracciones_transito_2021_b3.csv,csv,146.992,2026-01-23T17:25:33Z,05_infracciones/generales/infracciones_infracciones_transito_2021_b3.csv
